"shipment_id","customer_name","customer_surname","tracking_url","tracking_code","carrier_name","urgency","order_date","dispatch_date","arrival_date","cancel_date"
"1001","John","Smith","https://www.ups.com/track?tracknum=UPS2166941B","UPS2166941B","ups","High","2022-04-06","2022-04-09","2022-04-09",""
"1002","Emma","Johnson","https://www.ups.com/track?tracknum=UPS4823498Y","UPS4823498Y","ups","Medium","2022-04-07","2022-04-10","","2022-04-17"
"1003","Michael","Brown","https://www.ups.com/track?tracknum=UPS2338687H","UPS2338687H","ups","High","2022-04-08","2022-04-10","2022-04-13",""
"1004","Olivia","Davis","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL7377459I","DHL7377459I","dhl","Low","2022-05-25","2022-05-28","2022-05-30",""
"1005","William","Miller","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL7120868F","DHL7120868F","dhl","Low","2022-06-01","2022-06-05","2022-06-08",""
"1006","Sophia","Wilson","https://www.laposte.fr/outils/suivrevosenvois?code=UPS%206960453G","UPS 6960453G","colissimo","High","2022-05-31","2022-06-04","2022-06-06",""
"1007","James","Moore","https://www.ups.com/track?tracknum=UPS5479144W","UPS5479144W","ups","Low","2022-06-03","2022-06-04","2022-06-06",""
"1008","Isabella","Taylor","https://www.dhl.com/globalen/home/tracking.html?trackingid=UPS%203871230R","UPS 3871230R","dhl","Medium","2022-06-03","2022-06-04","2022-06-07",""
"1009","Benjamin","Anderson","https://www.ups.com/track?tracknum=UPS5107245F","UPS5107245F","ups","High","2022-06-03","2022-06-04","2022-06-07",""
"1010","Mia","Thomas","https://www.ups.com/track?tracknum=UPS7366205I","UPS7366205I","ups","Medium","2022-06-16","2022-06-17","2022-06-19",""
"1011","Lucas","Jackson","https://www.ups.com/track?tracknum=UPS4684531V","UPS4684531V","ups","High","2022-06-17","2022-06-19","2022-06-19",""
"1012","Charlotte","White","https://www.ups.com/track?tracknum=UPS1938483H","UPS1938483H","ups","High","2022-06-23","2022-06-26","2022-06-28",""
"1013","Henry","Harris","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL6292423M","DHL6292423M","dhl","High","2022-06-23","2022-06-27","2022-06-29",""
"1014","Amelia","Martin","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL2110460G","DHL2110460G","dhl","Low","2022-06-22","2022-06-25","2022-06-27",""
"1015","Alexander","Thompson","https://www.laposte.fr/outils/suivrevosenvois?code=Colissimo4567281U","Colissimo4567281U","colissimo","High","2022-06-25","2022-06-25","","2022-07-04"
"1016","Harper","Garcia","https://www.laposte.fr/outils/suivrevosenvois?code=Colissimo7637601U","Colissimo7637601U","colissimo","High","2022-06-23","2022-06-25","2022-06-29",""
"1017","Daniel","Martinez","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL3396987I","DHL3396987I","dhl","High","2022-07-14","2022-07-16","2022-07-17",""
"1018","Evelyn","Robinson","https://www.ups.com/track?tracknum=UPS5137722X","UPS5137722X","ups","Medium","2022-07-15","2022-07-18","2022-07-19",""
"1019","Matthew","Clark","https://www.laposte.fr/outils/suivrevosenvois?code=UPS%208187926S","UPS 8187926S","colissimo","High","2022-07-16","2022-07-18","2022-07-20",""
"1020","Abigail","Rodriguez","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL7073292H","DHL7073292H","dhl","High","2022-07-22","2022-07-24","","2022-08-08"
"1021","Joseph","Lewis","https://www.laposte.fr/outils/suivrevosenvois?code=Colissimo9548432P","Colissimo9548432P","colissimo","Low","2022-07-22","2022-07-26","2022-07-28",""
"1022","Emily","Lee","https://www.ups.com/track?tracknum=UPS1790481D","UPS1790481D","ups","High","2022-07-25","2022-07-26","2022-07-29",""
"1023","David","Walker","https://www.ups.com/track?tracknum=UPS3684052Z","UPS3684052Z","ups","High","2022-07-25","2022-07-26","",""
"1024","Ella","Hall","https://www.laposte.fr/outils/suivrevosenvois?code=UPS%202065818M","UPS 2065818M","colissimo","High","2022-08-05","2022-08-07","2022-08-09",""
"1025","Samuel","Allen","https://www.laposte.fr/outils/suivrevosenvois?code=UPS%208852574Q","UPS 8852574Q","colissimo","Medium","2022-08-05","2022-08-07","2022-08-13",""
"1026","Avery","Young","https://www.ups.com/track?tracknum=UPS1192619V","UPS1192619V","ups","High","2022-08-05","2022-08-07","2022-08-07",""
"1027","Sebastian","King","https://www.ups.com/track?tracknum=UPS2921859V","UPS2921859V","ups","High","2022-08-05","2022-08-07","2022-08-09",""
"1028","Scarlett","Wright","https://www.ups.com/track?tracknum=UPS5476583Y","UPS5476583Y","ups","High","2022-08-05","2022-08-07","2022-08-09",""
"1029","Jack","Scott","https://www.ups.com/track?tracknum=UPS6707197D","UPS6707197D","ups","Low","2022-08-05","2022-08-06","2022-08-08",""
"1030","Grace","Green","https://www.laposte.fr/outils/suivrevosenvois?code=Colissimo8294150F","Colissimo8294150F","colissimo","High","2022-08-05","2022-08-07","2022-08-08",""
"1031","Owen","Baker","https://www.laposte.fr/outils/suivrevosenvois?code=Colissimo1054447X","Colissimo1054447X","colissimo","Medium","2022-08-06","2022-08-08","2022-08-09",""
"1032","Chloe","Adams","https://www.laposte.fr/outils/suivrevosenvois?code=Colissimo9398441Y","Colissimo9398441Y","colissimo","High","2022-08-26","2022-08-28","2022-08-30",""
"1033","Gabriel","Nelson","https://www.laposte.fr/outils/suivrevosenvois?code=Colissimo9517485D","Colissimo9517485D","colissimo","Medium","2022-08-25","2022-08-28","2022-08-29",""
"1034","Victoria","Hill","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL9517169T","DHL9517169T","dhl","High","2022-08-26","2022-08-28","2022-08-30",""
"1035","Carter","Ramirez","https://www.laposte.fr/outils/suivrevosenvois?code=UPS%203564217L","UPS 3564217L","colissimo","High","2022-08-29","2022-08-31","2022-09-02",""
"1036","Lily","Campbell","https://www.laposte.fr/outils/suivrevosenvois?code=UPS%209897858A","UPS 9897858A","colissimo","Low","2022-08-29","2022-08-31","2022-09-02",""
"1037","Jayden","Mitchell","https://www.dhl.com/globalen/home/tracking.html?trackingid=UPS%206438436P","UPS 6438436P","dhl","High","2022-08-30","2022-09-01","2022-09-03",""
"1038","Hannah","Roberts","https://www.ups.com/track?tracknum=UPS2876828L","UPS2876828L","ups","High","2022-08-31","2022-09-04","2022-09-04",""
"1039","Luke","Carter","https://www.laposte.fr/outils/suivrevosenvois?code=Colissimo5017343B","Colissimo5017343B","colissimo","Medium","2022-09-07","2022-09-10","",""
"1040","Zoe","Phillips","https://www.dhl.com/globalen/home/tracking.html?trackingid=UPS%202321324C","UPS 2321324C","dhl","High","2022-09-09","2022-09-10","",""
"1041","Anthony","Evans","https://www.laposte.fr/outils/suivrevosenvois?code=UPS%202161193Y","UPS 2161193Y","colissimo","High","2022-09-09","2022-09-10","",""
"1042","Nora","Turner","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL3109911E","DHL3109911E","dhl","Medium","2022-09-09","2022-09-11","",""
"1043","Isaac","Torres","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL3770370I","DHL3770370I","dhl","High","2022-09-09","2022-09-12","",""
"1044","Layla","Parker","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL8099076G","DHL8099076G","dhl","High","2022-09-09","2022-09-11","",""
"1045","Christian","Collins","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL4374754W","DHL4374754W","dhl","Medium","2022-09-14","2022-09-16","",""
"1046","Aria","Edwards","https://www.ups.com/track?tracknum=UPS7693979V","UPS7693979V","ups","High","2022-09-15","2022-09-16","",""
"1047","Andrew","Stewart","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL8350099Q","DHL8350099Q","dhl","Medium","2022-09-15","2022-09-16","",""
"1048","Aurora","Flores","https://www.dhl.com/globalen/home/tracking.html?trackingid=DHL3030113H","DHL3030113H","dhl","High","2022-09-16","","",""
"1049","Joshua","Morris","https://www.laposte.fr/outils/suivrevosenvois?code=Colissimo2074176K","Colissimo2074176K","colissimo","High","2022-09-19","","",""
